iter	Passed	Remaining
0	0	84
1	1	79
2	2	74
3	2	68
4	3	68
5	4	66
6	5	67
7	5	66
8	6	64
9	7	63
10	7	62
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	57
17	12	56
18	13	55
19	13	55
20	14	54
21	15	53
22	15	53
23	16	52
24	17	51
25	17	51
26	18	50
27	19	49
28	19	48
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	24	44
35	24	43
36	25	43
37	26	42
38	26	41
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	32	36
47	33	35
48	34	35
49	35	35
50	36	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
