iter	Passed	Remaining
0	135	135832
1	138	68927
2	139	46429
3	140	35052
4	141	28227
5	143	23696
6	144	20452
7	145	18011
8	146	16113
9	152	15087
10	155	13947
11	156	12894
12	157	11967
13	158	11168
14	159	10482
15	160	9887
16	166	9602
17	168	9210
18	169	8769
19	170	8372
20	171	8017
21	173	7698
22	174	7404
23	175	7134
24	176	6884
25	184	6903
26	186	6705
27	187	6520
28	188	6324
29	189	6138
30	190	5967
31	196	5937
32	199	5831
33	200	5688
34	201	5548
35	202	5419
36	203	5295
37	204	5184
38	205	5072
39	206	4966
40	212	4979
41	214	4899
42	216	4808
43	217	4721
44	218	4634
45	219	4550
46	220	4468
47	221	4394
48	227	4408
49	229	4354
50	230	4298
51	232	4231
52	233	4167
53	234	4103
54	235	4046
55	236	3987
56	242	4018
57	244	3975
58	245	3921
59	246	3868
60	248	3818
61	249	3768
62	250	3720
63	251	3673
64	257	3709
65	260	3685
66	261	3642
67	262	3599
68	263	3557
69	264	3516
70	265	3477
71	266	3437
72	272	3454
73	274	3432
74	276	3405
75	277	3370
76	278	3336
77	279	3302
78	280	3268
79	281	3236
80	282	3205
81	288	3226
82	289	3203
83	291	3173
84	292	3144
85	293	3117
86	294	3089
87	295	3063
88	296	3037
89	297	3010
90	303	3028
91	305	3017
92	306	2992
93	308	2968
94	309	2943
95	310	2919
96	311	2902
97	312	2879
98	317	2893
99	319	2878
100	321	2861
101	322	2842
102	324	2824
103	326	2810
104	328	2799
105	334	2818
106	337	2812
107	347	2868
108	350	2867
109	360	2916
110	365	2930
111	375	2974
112	381	2997
113	394	3064
114	396	3053
115	408	3110
116	410	3094
117	412	3080
118	419	3107
119	425	3121
120	440	3198
121	442	3186
122	445	3177
123	450	3185
124	457	3199
125	459	3186
126	460	3166
127	470	3207
128	473	3199
129	475	3183
130	482	3200
131	485	3195
132	487	3179
133	490	3171
134	495	3178
135	498	3166
136	501	3156
137	504	3150
138	509	3158
139	519	3190
140	522	3181
141	530	3203
142	536	3216
143	544	3233
144	547	3227
145	551	3224
146	559	3244
147	560	3228
148	564	3223
149	566	3209
150	572	3220
151	576	3214
152	578	3204
153	582	3200
154	588	3209
155	592	3205
156	597	3207
157	603	3215
158	606	3205
159	607	3189
160	608	3172
161	612	3166
162	618	3174
163	620	3161
164	625	3162
165	626	3146
166	627	3131
167	634	3144
168	638	3139
169	644	3144
170	646	3134
171	650	3132
172	668	3197
173	679	3225
174	683	3222
175	689	3227
176	696	3238
177	706	3261
178	727	3337
179	735	3349
180	740	3349
181	785	3529
182	787	3514
183	788	3497
184	829	3653
185	839	3675
186	921	4007
187	923	3990
188	926	3973
189	931	3970
190	987	4182
191	1000	4209
192	1001	4189
193	1003	4168
194	1004	4146
195	1005	4125
196	1006	4104
197	1008	4083
198	1010	4067
199	1012	4048
200	1013	4028
201	1014	4008
202	1015	3988
203	1067	4166
204	1079	4185
205	1080	4165
206	1086	4162
207	1095	4171
208	1098	4158
209	1129	4250
210	1132	4234
211	1140	4237
212	1143	4226
213	1145	4206
214	1146	4186
215	1147	4166
216	1151	4155
217	1153	4138
218	1155	4119
219	1157	4103
220	1161	4094
221	1163	4075
222	1171	4080
223	1173	4064
224	1174	4046
225	1178	4036
226	1183	4030
227	1187	4019
228	1190	4007
229	1193	3994
230	1198	3989
231	1199	3971
232	1201	3953
233	1202	3935
234	1203	3917
235	1205	3901
236	1206	3884
237	1207	3866
238	1208	3849
239	1210	3832
240	1211	3815
241	1213	3799
242	1214	3784
243	1216	3767
244	1217	3751
245	1218	3735
246	1224	3734
247	1226	3717
248	1229	3707
249	1230	3691
250	1231	3675
251	1234	3663
252	1237	3652
253	1240	3643
254	1244	3636
255	1247	3625
256	1255	3629
257	1263	3633
258	1265	3621
259	1269	3612
260	1270	3597
261	1271	3582
262	1275	3573
263	1276	3559
264	1278	3546
265	1281	3535
266	1282	3521
267	1293	3532
268	1297	3526
269	1300	3516
270	1301	3501
271	1306	3497
272	1309	3487
273	1312	3477
274	1314	3466
275	1319	3461
276	1322	3452
277	1325	3443
278	1327	3429
279	1330	3420
280	1337	3421
281	1339	3410
282	1342	3402
283	1346	3395
284	1356	3402
285	1358	3392
286	1371	3407
287	1375	3401
288	1377	3388
289	1384	3390
290	1389	3384
291	1390	3371
292	1393	3362
293	1408	3382
294	1409	3369
295	1410	3355
296	1421	3363
297	1422	3351
298	1423	3338
299	1425	3325
300	1436	3335
301	1437	3322
302	1438	3309
303	1440	3299
304	1442	3286
305	1443	3274
306	1449	3271
307	1451	3260
308	1455	3253
309	1456	3241
310	1458	3231
311	1463	3226
312	1466	3218
313	1467	3206
314	1468	3194
315	1473	3190
316	1475	3178
317	1476	3167
318	1479	3157
319	1482	3151
320	1484	3139
321	1485	3127
322	1486	3116
323	1491	3112
324	1493	3100
325	1494	3089
326	1496	3079
327	1497	3068
328	1499	3057
329	1500	3046
330	1501	3035
331	1506	3030
332	1515	3036
333	1522	3034
334	1523	3023
335	1524	3013
336	1526	3002
337	1527	2991
338	1537	2998
339	1539	2987
340	1540	2976
341	1542	2968
342	1545	2960
343	1548	2952
344	1549	2941
345	1550	2931
346	1554	2924
347	1555	2915
348	1557	2904
349	1558	2894
350	1574	2910
351	1599	2944
352	1601	2934
353	1602	2923
354	1603	2913
355	1604	2903
356	1606	2892
357	1607	2882
358	1608	2872
359	1610	2862
360	1611	2853
361	1614	2845
362	1615	2835
363	1617	2825
364	1618	2815
365	1619	2805
366	1620	2795
367	1622	2785
368	1623	2776
369	1624	2766
370	1625	2756
371	1636	2763
372	1648	2771
373	1650	2762
374	1651	2752
375	1652	2743
376	1654	2733
377	1655	2723
378	1656	2714
379	1662	2713
380	1664	2703
381	1665	2694
382	1667	2685
383	1668	2676
384	1669	2667
385	1671	2658
386	1676	2655
387	1678	2647
388	1679	2638
389	1681	2629
390	1682	2620
391	1684	2612
392	1685	2603
393	1686	2594
394	1691	2590
395	1692	2581
396	1694	2573
397	1695	2564
398	1696	2556
399	1698	2547
400	1699	2539
401	1701	2530
402	1702	2522
403	1707	2519
404	1708	2510
405	1709	2501
406	1710	2492
407	1711	2483
408	1712	2474
409	1714	2466
410	1716	2460
411	1717	2451
412	1722	2448
413	1723	2439
414	1724	2431
415	1725	2422
416	1726	2413
417	1727	2405
418	1728	2396
419	1729	2387
420	1729	2379
421	1730	2370
422	1731	2361
423	1732	2353
424	1734	2346
425	1737	2340
426	1738	2332
427	1739	2324
428	1740	2316
429	1741	2308
430	1742	2300
431	1743	2292
432	1744	2284
433	1745	2276
434	1746	2269
435	1748	2261
436	1752	2257
437	1753	2250
438	1754	2242
439	1755	2234
440	1756	2226
441	1757	2218
442	1758	2211
443	1759	2203
444	1760	2196
445	1762	2188
446	1763	2181
447	1768	2178
448	1769	2171
449	1770	2163
450	1771	2156
451	1772	2148
452	1773	2141
453	1774	2134
454	1775	2126
455	1777	2120
456	1778	2113
457	1780	2106
458	1783	2102
459	1785	2095
460	1786	2088
461	1787	2081
462	1788	2074
463	1789	2067
464	1790	2060
465	1791	2053
466	1792	2045
467	1794	2039
468	1796	2034
469	1799	2029
470	1800	2022
471	1801	2015
472	1802	2008
473	1803	2001
474	1806	1996
475	1807	1990
476	1809	1984
477	1810	1977
478	1811	1970
479	1812	1963
480	1813	1957
481	1815	1951
482	1816	1944
483	1821	1941
484	1829	1942
485	1832	1937
486	1837	1935
487	1839	1929
488	1840	1923
489	1843	1919
490	1844	1912
491	1845	1906
492	1847	1899
493	1848	1893
494	1849	1887
495	1866	1896
496	1870	1892
497	1872	1887
498	1874	1882
499	1885	1885
500	1887	1880
501	1892	1877
502	1894	1871
503	1896	1866
504	1898	1860
505	1904	1859
506	1906	1853
507	1913	1853
508	1916	1848
509	1926	1851
510	1933	1850
511	1935	1845
512	1944	1845
513	1957	1850
514	1959	1845
515	1969	1847
516	1971	1841
517	1972	1835
518	1974	1829
519	1976	1824
520	1982	1822
521	1985	1817
522	1992	1817
523	1999	1816
524	2007	1816
525	2008	1809
526	2017	1810
527	2018	1804
528	2020	1798
529	2022	1793
530	2023	1787
531	2033	1788
532	2036	1784
533	2039	1779
534	2040	1773
535	2050	1774
536	2054	1771
537	2055	1765
538	2056	1759
539	2064	1758
540	2070	1756
541	2072	1751
542	2077	1748
543	2082	1745
544	2083	1739
545	2085	1733
546	2086	1727
547	2087	1722
548	2100	1725
549	2102	1720
550	2136	1740
551	2148	1744
552	2168	1752
553	2179	1754
554	2183	1750
555	2200	1757
556	2217	1763
557	2234	1770
558	2238	1765
559	2239	1759
560	2251	1761
561	2253	1756
562	2265	1758
563	2272	1756
564	2288	1762
565	2354	1805
566	2358	1801
567	2363	1797
568	2371	1796
569	2373	1790
570	2376	1785
571	2379	1780
572	2383	1776
573	2386	1771
574	2388	1765
575	2389	1759
576	2391	1753
577	2395	1748
578	2404	1748
579	2406	1742
580	2412	1740
581	2436	1750
582	2437	1743
583	2445	1742
584	2447	1736
585	2450	1731
586	2451	1725
587	2453	1719
588	2456	1713
589	2473	1719
590	2482	1717
591	2483	1711
592	2485	1705
593	2486	1699
594	2487	1693
595	2489	1687
596	2490	1681
597	2492	1675
598	2497	1671
599	2501	1667
600	2505	1663
601	2511	1660
602	2515	1656
603	2524	1655
604	2528	1650
605	2530	1645
606	2534	1641
607	2538	1636
608	2543	1632
609	2558	1635
610	2563	1632
611	2568	1628
612	2606	1645
613	2612	1642
614	2638	1651
615	2646	1649
616	2651	1645
617	2662	1645
618	2679	1649
619	2714	1663
620	2724	1663
621	2745	1668
622	2761	1671
623	2773	1671
624	2776	1665
625	2778	1659
626	2792	1661
627	2801	1659
628	2805	1654
629	2808	1649
630	2825	1652
631	2890	1683
632	2898	1680
633	2915	1683
634	2917	1676
635	2940	1682
636	2943	1677
637	2944	1670
638	2948	1665
639	2962	1666
640	2966	1661
641	2975	1659
642	2996	1663
643	2998	1657
644	3000	1651
645	3005	1647
646	3014	1644
647	3016	1638
648	3018	1632
649	3020	1626
650	3032	1625
651	3066	1636
652	3069	1631
653	3084	1632
654	3103	1634
655	3123	1638
656	3131	1634
657	3138	1631
658	3148	1629
